node,degree,clustering,betweeness,centrality,triangles,eccentricity,closeness,page_rank,eigen_centrality,square_clustering,clique,degree_average_voisin,katz
Dosseh,10,0.24444444444444444,0.006992612194153111,0.05128205128205128,11,6,0.39156626506024095,0.006222634891342826,0.08554370091939859,0.011988146551724138,7,17.2,
Escobar Macson,4,0.5,0.00016900773938612133,0.020512820512820513,3,6,0.3379549393414211,0.002825428045744799,0.045038493286611504,0.03671071953010279,3,18.0,
Damso,12,0.24242424242424243,0.02346410915727741,0.06153846153846154,16,6,0.37213740458015265,0.007776622439672205,0.08991135262020447,0.017458500286204923,10,13.916666666666666,
Lomepal,5,0.4,0.004716700430356668,0.02564102564102564,4,6,0.33620689655172414,0.0038638504672030127,0.021983774548894015,0.014749262536873156,5,13.4,
Rohff,10,0.15555555555555556,0.011771552582568338,0.05128205128205128,7,5,0.37937743190661477,0.006371477098341467,0.0766192636337981,0.016891284815813118,8,15.6,
Madrane,3,0.3333333333333333,0.00032937540422037383,0.015384615384615385,1,7,0.3105095541401274,0.0024022621224951326,0.022308460105605655,0.01607717041800643,2,14.333333333333334,
Tiers,6,0.26666666666666666,0.0026767868129578248,0.03076923076923077,4,7,0.3500897666068223,0.00409975273904175,0.04816537897261779,0.013620386643233744,5,16.5,
Disiz La Peste,13,0.16666666666666666,0.019198072685573137,0.06666666666666667,13,6,0.4045643153526971,0.008133509607689429,0.09277584539640672,0.009878027830269713,14,15.846153846153847,
Ruskov,1,0.0,0.0,0.005128205128205128,0,8,0.26244952893674295,0.00138016642666726,0.0036005572350452943,0.0,1,11.0,
Ateyaba,5,0.6,0.00042546778835281343,0.02564102564102564,6,6,0.3469750889679715,0.003323682449634318,0.05644828946000367,0.026383526383526385,3,19.0,
Kery James,15,0.2,0.031505343601626386,0.07692307692307693,21,6,0.4012345679012346,0.009681149038172198,0.12934904946566164,0.015189174261253798,15,16.266666666666666,
Zesau,10,0.28888888888888886,0.008999470089181604,0.05128205128205128,13,5,0.36178107606679033,0.0062570210214403675,0.07956806715248438,0.029128808123997863,9,13.8,
Kofs,3,0.3333333333333333,0.0012149083255635993,0.015384615384615385,1,6,0.3469750889679715,0.0024953467704311822,0.0316721738242769,0.006256517205422315,2,25.0,
Sams,9,0.1111111111111111,0.008874195935964085,0.046153846153846156,4,6,0.3742802303262956,0.005941990096391519,0.056250991253047916,0.009360730593607305,8,13.444444444444445,
Cheu B,2,0.0,0.00021849886243224863,0.010256410256410256,0,8,0.24436090225563908,0.002444778837798239,0.0016390821766571304,0.0,2,3.5,
Barack Adama,8,0.5357142857142857,0.0008457059732068802,0.041025641025641026,15,7,0.3403141361256545,0.0048908414610522,0.06765317344400729,0.04209775240813414,5,15.875,
Busta Flex,7,0.3333333333333333,0.007495034465766018,0.035897435897435895,7,6,0.3584558823529412,0.00485161627604554,0.053009718773229124,0.02018348623853211,5,15.714285714285714,
Kamelancien,5,0.4,0.0006686765396190565,0.02564102564102564,4,7,0.31451612903225806,0.003706929007023768,0.02889300792586862,0.020249221183800622,4,11.8,
Jazzy Bazz,8,0.25,0.010222228707651432,0.041025641025641026,7,6,0.3651685393258427,0.005621132618560331,0.04075589062928837,0.010967098703888335,6,13.125,
Tayc,16,0.23333333333333334,0.015969662201817628,0.08205128205128205,28,6,0.38537549407114624,0.009488458674504383,0.10570607372499441,0.018756698821007504,15,12.9375,
Tsew The Kid,5,0.0,0.016882855384226826,0.02564102564102564,0,7,0.3125,0.005255398710808725,0.012615130626635107,0.014925373134328358,5,7.4,
Junior Bvndo,4,0.3333333333333333,0.010616587714639211,0.020512820512820513,2,6,0.3373702422145329,0.0038853729319011953,0.02765350789660086,0.0071174377224199285,3,16.5,
Swing,2,0.0,0.010256410256410256,0.010256410256410256,0,6,0.3239202657807309,0.003088557816598954,0.019220188250055757,0.0,2,23.5,
Glk,7,0.42857142857142855,0.0058428037979724855,0.035897435897435895,9,6,0.3700189753320683,0.0046182923549937084,0.08400422404975486,0.024342267027292846,4,21.428571428571427,
Shay,2,0.0,0.00028612955763831973,0.010256410256410256,0,7,0.2959028831562974,0.002035634376656697,0.015005872926525046,0.045454545454545456,2,13.0,
Le Motif,1,0.0,0.0,0.005128205128205128,0,8,0.21642619311875694,0.0021199109728690215,0.000311046605735418,0.0,1,2.0,
Booba,15,0.21904761904761905,0.021976655944635236,0.07692307692307693,23,6,0.38922155688622756,0.009185152750505781,0.13116398067520812,0.020213713268032056,14,14.666666666666666,
Sianna,3,0.3333333333333333,0.00022382058541610538,0.015384615384615385,1,6,0.35714285714285715,0.0023474170695302944,0.04178199555190323,0.01303680981595092,2,29.666666666666668,
7 Jaws,1,0.0,0.0,0.005128205128205128,0,7,0.2589641434262948,0.0015075668371706563,0.0025381017274500634,0.0,1,8.0,
Franglish,12,0.3484848484848485,0.0060038350853172774,0.06153846153846154,23,6,0.375,0.007136720617552077,0.09096595030442124,0.022117962466487937,9,15.25,
Elams,4,0.3333333333333333,0.0013531756590486825,0.020512820512820513,2,6,0.3415061295971979,0.0031420512340706802,0.02928785388067871,0.011869436201780416,3,17.75,
Bedjik,2,0.0,0.00016221580575268124,0.010256410256410256,0,7,0.3051643192488263,0.0018815001832406017,0.01556521579794498,0.01098901098901099,2,13.5,
Juicy P,9,0.2222222222222222,0.0045105027989923345,0.046153846153846156,8,6,0.3651685393258427,0.0055570949758433266,0.08185515715396452,0.020131086142322098,7,15.11111111111111,
Larry,1,0.0,0.0,0.005128205128205128,0,7,0.2801724137931034,0.0013559071010692775,0.006050990907856957,0.0,1,10.0,
Guizmo,6,0.26666666666666666,0.004248371886075135,0.03076923076923077,4,6,0.3700189753320683,0.004458564180504568,0.050840292483613894,0.011244105912223431,5,19.166666666666668,
Laylow,16,0.14166666666666666,0.03376441629676304,0.08205128205128205,17,6,0.3764478764478765,0.010986242488068983,0.0608363532573932,0.013258897418004187,14,9.9375,
Brvmsoo,1,0.0,0.0,0.005128205128205128,0,7,0.25259067357512954,0.0015909570447600616,0.0019978722181542025,0.0,1,4.0,
Koba Lad,5,0.2,0.006162808641684143,0.02564102564102564,2,6,0.3500897666068223,0.0036387159367233385,0.03895233540921609,0.01030337721808815,4,16.6,
Gims,20,0.22105263157894736,0.028209372080726804,0.10256410256410256,42,6,0.4148936170212766,0.01164405932118924,0.18565778648618195,0.018499407560295073,22,16.25,
Take A Mic,10,0.15555555555555556,0.008977847298137135,0.05128205128205128,7,6,0.3735632183908046,0.006498062082747787,0.06258125136614466,0.01023073574227253,9,13.5,
Dinos,14,0.10989010989010989,0.027698416359961717,0.07179487179487179,10,7,0.3816046966731898,0.008980986697827093,0.08285679753045963,0.011274509803921568,9,12.142857142857142,
Mhd,2,1.0,0.0,0.010256410256410256,1,7,0.2817919075144509,0.0018349927829586523,0.015303102767537614,0.15,1,14.0,
Mussy,2,0.0,0.00143889216594426,0.010256410256410256,0,8,0.2092274678111588,0.0031774781566975443,0.00025908843602548453,0.3333333333333333,2,3.5,
Passi,6,0.2,0.004397295478185277,0.03076923076923077,3,7,0.3105095541401274,0.00459727762911349,0.01919562372336441,0.024630541871921183,5,9.0,
